quote_date,item_id,p_mean,p_75,p_median,p_25,date,dateStata,dateISO,obs,year,month,quarter,_merge,itemName,Monthly_Price_Change_%
202105,210212,1.795955,2,1.6,1.25,400,01/05/2021,2021-05-01,95210,2021,5,2,Matched (3),1,-1.690966644
202106,210212,1.765586,1.9,1.6,1.29,401,01/06/2021,2021-06-01,109408,2021,6,2,Matched (3),1,1.778389724
202107,210212,1.796985,1.85,1.6,1.29,402,01/07/2021,2021-07-01,122056,2021,7,3,Matched (3),1,-0.722599243
202108,210212,1.784,1.85,1.7,1.29,403,01/08/2021,2021-08-01,123477,2021,8,3,Matched (3),1,-1.811098655
202109,210212,1.75169,1.85,1.6,1.29,404,01/09/2021,2021-09-01,122686,2021,9,3,Matched (3),1,-0.036821584
202110,210212,1.751045,1.85,1.65,1.29,405,01/10/2021,2021-10-01,123103,2021,10,4,Matched (3),1,1.981673801
202111,210212,1.785745,1.85,1.6,1.35,406,01/11/2021,2021-11-01,123532,2021,11,4,Matched (3),1,1.000814786
202112,210212,1.803617,1.85,1.6,1.35,407,01/12/2021,2021-12-01,123086,2021,12,4,Matched (3),1,0.459132953
202201,210212,1.811898,1.85,1.7,1.35,408,01/01/2022,2022-01-01,123655,2022,1,1,Matched (3),1,1.733541292
202202,210212,1.843308,2,1.75,1.35,409,01/02/2022,2022-02-01,121928,2022,2,1,Matched (3),1,0.243746569
202203,210212,1.847801,2,1.75,1.35,410,01/03/2022,2022-03-01,125713,2022,3,1,Matched (3),1,1.40897207
202204,210212,1.873836,2,1.75,1.35,411,01/04/2022,2022-04-01,127157,2022,4,2,Matched (3),1,2.543285538
202205,210212,1.921493,2,1.85,1.35,412,01/05/2022,2022-05-01,127155,2022,5,2,Matched (3),1,1.247415421
202206,210212,1.945462,2.05,1.85,1.35,413,01/06/2022,2022-06-01,127526,2022,6,2,Matched (3),1,-0.49582053
202207,210212,1.935816,2.05,1.85,1.35,414,01/07/2022,2022-07-01,127040,2022,7,3,Matched (3),1,2.748453365
202208,210212,1.989021,2.05,1.85,1.55,415,01/08/2022,2022-08-01,125392,2022,8,3,Matched (3),1,0.580285477
202209,210212,2.000563,2.05,1.85,1.55,416,01/09/2022,2022-09-01,125502,2022,9,3,Matched (3),1,2.432415275
202210,210212,2.049225,2.2,1.995,1.59,417,01/10/2022,2022-10-01,125741,2022,10,4,Matched (3),1,-100
